------------------------------------------------
--- Create Proof--------------------------------
Method      Dep Count     Median Time  Samples
\{(1,0.003934834) (2,0.006478625) (3,0.009022645) (4,0.010313082) (5,0.012112396) (6,0.012684916) (7,0.009184229) (8,0.016468459) (9,0.016277209) (10,0.014915000) (11,0.013908958) (12,0.019509854) (13,0.021542021) (14,0.018598604) (15,0.017065812) (16,0.019849834) (17,0.021126541) (18,0.024133792) (19,0.025389209) (20,0.022545791) (21,0.025162416) (22,0.028049874) (24,0.022400875) (25,0.031167375) (26,0.030072146) (27,0.017939875) (28,0.030755416) (29,0.031011416) (30,0.026884167) (31,0.026787667) (32,0.016467750) (33,0.032349021) (34,0.038938250) (35,0.028241374) (36,0.037199834) (37,0.034739500) (38,0.036441771) (39,0.036983187) (40,0.038722833) (41,0.026836355) (42,0.036487541) (43,0.030573542) (44,0.026978834) (45,0.042822979) (46,0.038253104) (47,0.037600333) (48,0.036861458) (49,0.033501166) (50,0.043204125) (51,0.044820625) (52,0.035496563) (53,0.039709708) (54,0.043991167) (55,0.031944750) (56,0.036998708) (57,0.045895812) (58,0.048295125) (59,0.034447208) (60,0.034481333) (61,0.044261834) (62,0.035126562) (63,0.035497458) (64,0.036181312) (65,0.036499709) (66,0.052468625) (69,0.038338604) (70,0.053267417) (71,0.046272959) (72,0.053525958) (73,0.040339708) (74,0.055560251) (76,0.055088791) (78,0.056113625) (81,0.057833125) (83,0.054756104) (89,0.039646042) (90,0.066398167) (92,0.069092709) (94,0.059164251) (96,0.066486730) (97,0.065005480) (99,0.061642188) (100,0.067868750) (101,0.060856417) (103,0.060705334) (106,0.070911791) (107,0.069957750) (110,0.070259250) (112,0.067983958) (116,0.069638876) (119,0.078564917) (120,0.068580834) (125,0.062370708) (129,0.073603021) (130,0.063125959) (132,0.079772166) (133,0.084111000) (134,0.077675042) (136,0.076892958) (138,0.087460124) (139,0.078932334) (140,0.076916938) (142,0.077165333) (143,0.086939125) (145,0.086035126) (146,0.084264542) (149,0.086647125) (158,0.090664208) (163,0.070535458) (165,0.094351874) (167,0.092118332) (176,0.096196792) (178,0.087443250) (183,0.094843042) (185,0.106203667) (186,0.097489750) (187,0.100325542) (188,0.091566375) (189,0.092334417) (190,0.093183125) (191,0.094638833) (206,0.106299166) (222,0.107719416) (223,0.106315499) (224,0.111995500) (228,0.112340084) (229,0.105913958) (230,0.110325687) (236,0.112403500) (237,0.129377458) (238,0.126115062) (249,0.120281021) (250,0.107634834) (261,0.112178125) (264,0.127397437) (268,0.127200417) (273,0.126013041) (288,0.131111667) (289,0.131252187) (291,0.135771876) (293,0.132640083) (298,0.125446834) (300,0.147425626) (301,0.147764625) (323,0.144913624) (324,0.139679958) (325,0.140504000) (326,0.142069834) (330,0.153189917) (336,0.138458249) (340,0.152247583) (341,0.144499083) (348,0.163433209) (350,0.155242792) (355,0.130960749) (360,0.144894333) (371,0.174967874) (382,0.174131958) (383,0.179547625) (396,0.180401666) (401,0.147510917) (404,0.162207208) (414,0.175120042) (418,0.163766457) (429,0.166077750) (434,0.186567563) (436,0.188904625) (438,0.193296125) (439,0.189007459) (444,0.196317500) (459,0.190841791) (492,0.210763833) (495,0.216571208) (561,0.240408917) (591,0.247709459) (601,0.238456084) (698,0.260640166) (709,0.292845583) (732,0.280840333) (739,0.283375916) (771,0.310701834) (774,0.319387917) (778,0.307230541) (786,0.316354708) (939,0.356216749) (1085,0.393881500) (1099,0.425380375) (1109,0.414580667) (1122,0.419041375) (1123,0.420894417) (1197,0.442486625) (1312,0.484562792) (1335,0.514506416) (1636,0.610616374) (1637,0.610876417) (1639,0.610415209) (1640,0.611560667) (1641,0.610113646) (1647,0.610492959) (1648,0.613170417) (1658,0.617438791) (1708,0.647566333) (1716,0.626023209) (2167,0.794250583) (2168,0.793755270) (2505,0.910756417) (2925,1.063236542) (3110,1.125669792) (3710,1.353427125) (4098,1.487501624) (8209,2.967968334)}
------------------------------------------------
------------------------------------------------
--- Verify Proof--------------------------------
Method      Dep Count     Median Time  Samples
------------------------------------------------
ozks                1     0.000026042       35
ozks                2     0.000027562       60
ozks                3     0.000027625       60
ozks                4     0.000027708       15
ozks                5     0.000027479       20
ozks                6     0.000024958       25
ozks                7     0.000021479       10
ozks                8     0.000026958       15
ozks                9     0.000024875       15
ozks               10     0.000024959       10
ozks               11     0.000024083       25
ozks               12     0.000024813       10
ozks               13     0.000023834       20
ozks               14     0.000024604       10
ozks               15     0.000022999       10
ozks               16     0.000022750       45
ozks               17     0.000023062       20
ozks               18     0.000023375       10
ozks               19     0.000023167       35
ozks               20     0.000022521       10
ozks               21     0.000021333       35
ozks               22     0.000023333       15
ozks               24     0.000021708        5
ozks               25     0.000021458        5
ozks               26     0.000020729       14
ozks               27     0.000014166        5
ozks               28     0.000020250       15
ozks               29     0.000018250       20
ozks               30     0.000018542        5
ozks               31     0.000017875       75
ozks               32     0.000014958        5
ozks               33     0.000016625       40
ozks               34     0.000020709        5
ozks               35     0.000015938       10
ozks               36     0.000015125        5
ozks               37     0.000015625       20
ozks               38     0.000015666       20
ozks               39     0.000016500       20
ozks               40     0.000016250        5
ozks               41     0.000015334       10
ozks               42     0.000016750       35
ozks               43     0.000016417        9
ozks               44     0.000016541        5
ozks               45     0.000015271       10
ozks               46     0.000014354       10
ozks               47     0.000017250       35
ozks               48     0.000016292        5
ozks               49     0.000015834        5
ozks               50     0.000014750       25
ozks               51     0.000016270       10
ozks               52     0.000013229       10
ozks               53     0.000016271       30
ozks               54     0.000014604       10
ozks               55     0.000012917      100
ozks               56     0.000013750       25
ozks               57     0.000014396       10
ozks               58     0.000016500        5
ozks               59     0.000014041       25
ozks               60     0.000013125       15
ozks               61     0.000013209       20
ozks               62     0.000013792       30
ozks               63     0.000012583       70
ozks               64     0.000012792       20
ozks               65     0.000012708       35
ozks               66     0.000016125        5
ozks               69     0.000012730       30
ozks               70     0.000013458        5
ozks               71     0.000014938       10
ozks               72     0.000013333       25
ozks               73     0.000012500        5
ozks               74     0.000013104       10
ozks               76     0.000015500        5
ozks               78     0.000013001       10
ozks               81     0.000014875        5
ozks               83     0.000012645       20
ozks               89     0.000011500        5
ozks               90     0.000012375        5
ozks               92     0.000012792        5
ozks               94     0.000012167        5
ozks               96     0.000013646       10
ozks               97     0.000012479       10
ozks               99     0.000012084       50
ozks              100     0.000012375        5
ozks              101     0.000013125        5
ozks              103     0.000011959        5
ozks              106     0.000012083        5
ozks              107     0.000014000       15
ozks              110     0.000012604       10
ozks              112     0.000011833       10
ozks              116     0.000012084        5
ozks              119     0.000012000       10
ozks              120     0.000011709        5
ozks              125     0.000011542        5
ozks              129     0.000011874       10
ozks              130     0.000013917        5
ozks              132     0.000012083        5
ozks              133     0.000013375        5
ozks              134     0.000011792       25
ozks              136     0.000011542        5
ozks              138     0.000014333        5
ozks              139     0.000011604       30
ozks              140     0.000012376       20
ozks              142     0.000012833       20
ozks              143     0.000011354       10
ozks              145     0.000012041       10
ozks              146     0.000011958        5
ozks              149     0.000011417        5
ozks              158     0.000011167        5
ozks              163     0.000011625        5
ozks              165     0.000013625        5
ozks              167     0.000012083       15
ozks              176     0.000013791        5
ozks              178     0.000011355       30
ozks              183     0.000010917        5
ozks              185     0.000011167        5
ozks              186     0.000011833        5
ozks              187     0.000011375        5
ozks              188     0.000010917        5
ozks              189     0.000013500        5
ozks              190     0.000011166        5
ozks              191     0.000013688       10
ozks              206     0.000011084       45
ozks              222     0.000011104       10
ozks              223     0.000011125        5
ozks              224     0.000011750       10
ozks              228     0.000011084        5
ozks              229     0.000011291        1
ozks              230     0.000012438        4
ozks              236     0.000012375       10
ozks              237     0.000011292        1
ozks              238     0.000013625        4
ozks              249     0.000011146       10
ozks              250     0.000011666        5
ozks              261     0.000011167        5
ozks              264     0.000012313       10
ozks              268     0.000011084        5
ozks              273     0.000010708        5
ozks              288     0.000011459       11
ozks              289     0.000011708        4
ozks              291     0.000010980       10
ozks              293     0.000010958        5
ozks              298     0.000011250        5
ozks              300     0.000013209        5
ozks              301     0.000010792        5
ozks              323     0.000012833        5
ozks              324     0.000011000        5
ozks              325     0.000011146       20
ozks              326     0.000011458       25
ozks              330     0.000013750        5
ozks              336     0.000011625        5
ozks              340     0.000011292        5
ozks              341     0.000013625        5
ozks              348     0.000011666        5
ozks              350     0.000011167        5
ozks              355     0.000013542        5
ozks              360     0.000011291        5
ozks              371     0.000011166        5
ozks              382     0.000011625        5
ozks              383     0.000011000        5
ozks              396     0.000011583        5
ozks              401     0.000012833        5
ozks              404     0.000010958        5
ozks              414     0.000013750        5
ozks              418     0.000011042       15
ozks              429     0.000011875        5
ozks              434     0.000011875       10
ozks              436     0.000013292        5
ozks              438     0.000011208        5
ozks              439     0.000011375        5
ozks              444     0.000013479        4
ozks              459     0.000011209        5
ozks              492     0.000011125        5
ozks              495     0.000013666        5
ozks              561     0.000011083        5
ozks              591     0.000012750        5
ozks              601     0.000011291        5
ozks              698     0.000011542        5
ozks              709     0.000011167        5
ozks              732     0.000011792        5
ozks              739     0.000011292        5
ozks              771     0.000013750        5
ozks              774     0.000011291        5
ozks              778     0.000011375        5
ozks              786     0.000011166        5
ozks              939     0.000012709       10
ozks             1085     0.000013833        5
ozks             1099     0.000011666        5
ozks             1109     0.000011125        5
ozks             1122     0.000011375       10
ozks             1123     0.000011250       15
ozks             1197     0.000011584        5
ozks             1312     0.000011042        5
ozks             1335     0.000011375       15
ozks             1636     0.000011500        5
ozks             1637     0.000011584       15
ozks             1639     0.000011459       15
ozks             1640     0.000011375        5
ozks             1641     0.000011375       20
ozks             1647     0.000014125        5
ozks             1648     0.000011500        5
ozks             1658     0.000011126       10
ozks             1708     0.000011459        5
ozks             1716     0.000011208       15
ozks             2167     0.000011500        5
ozks             2168     0.000012063       10
ozks             2505     0.000011583        5
ozks             2925     0.000013417        5
ozks             3110     0.000011459       15
ozks             3710     0.000014250        5
ozks             4098     0.000011291        5
ozks             8209     0.000011834        5
% ozks
\{(1,0.000026042) (2,0.000027562) (3,0.000027625) (4,0.000027708) (5,0.000027479) (6,0.000024958) (7,0.000021479) (8,0.000026958) (9,0.000024875) (10,0.000024959) (11,0.000024083) (12,0.000024813) (13,0.000023834) (14,0.000024604) (15,0.000022999) (16,0.000022750) (17,0.000023062) (18,0.000023375) (19,0.000023167) (20,0.000022521) (21,0.000021333) (22,0.000023333) (24,0.000021708) (25,0.000021458) (26,0.000020729) (27,0.000014166) (28,0.000020250) (29,0.000018250) (30,0.000018542) (31,0.000017875) (32,0.000014958) (33,0.000016625) (34,0.000020709) (35,0.000015938) (36,0.000015125) (37,0.000015625) (38,0.000015666) (39,0.000016500) (40,0.000016250) (41,0.000015334) (42,0.000016750) (43,0.000016417) (44,0.000016541) (45,0.000015271) (46,0.000014354) (47,0.000017250) (48,0.000016292) (49,0.000015834) (50,0.000014750) (51,0.000016270) (52,0.000013229) (53,0.000016271) (54,0.000014604) (55,0.000012917) (56,0.000013750) (57,0.000014396) (58,0.000016500) (59,0.000014041) (60,0.000013125) (61,0.000013209) (62,0.000013792) (63,0.000012583) (64,0.000012792) (65,0.000012708) (66,0.000016125) (69,0.000012730) (70,0.000013458) (71,0.000014938) (72,0.000013333) (73,0.000012500) (74,0.000013104) (76,0.000015500) (78,0.000013001) (81,0.000014875) (83,0.000012645) (89,0.000011500) (90,0.000012375) (92,0.000012792) (94,0.000012167) (96,0.000013646) (97,0.000012479) (99,0.000012084) (100,0.000012375) (101,0.000013125) (103,0.000011959) (106,0.000012083) (107,0.000014000) (110,0.000012604) (112,0.000011833) (116,0.000012084) (119,0.000012000) (120,0.000011709) (125,0.000011542) (129,0.000011874) (130,0.000013917) (132,0.000012083) (133,0.000013375) (134,0.000011792) (136,0.000011542) (138,0.000014333) (139,0.000011604) (140,0.000012376) (142,0.000012833) (143,0.000011354) (145,0.000012041) (146,0.000011958) (149,0.000011417) (158,0.000011167) (163,0.000011625) (165,0.000013625) (167,0.000012083) (176,0.000013791) (178,0.000011355) (183,0.000010917) (185,0.000011167) (186,0.000011833) (187,0.000011375) (188,0.000010917) (189,0.000013500) (190,0.000011166) (191,0.000013688) (206,0.000011084) (222,0.000011104) (223,0.000011125) (224,0.000011750) (228,0.000011084) (229,0.000011291) (230,0.000012438) (236,0.000012375) (237,0.000011292) (238,0.000013625) (249,0.000011146) (250,0.000011666) (261,0.000011167) (264,0.000012313) (268,0.000011084) (273,0.000010708) (288,0.000011459) (289,0.000011708) (291,0.000010980) (293,0.000010958) (298,0.000011250) (300,0.000013209) (301,0.000010792) (323,0.000012833) (324,0.000011000) (325,0.000011146) (326,0.000011458) (330,0.000013750) (336,0.000011625) (340,0.000011292) (341,0.000013625) (348,0.000011666) (350,0.000011167) (355,0.000013542) (360,0.000011291) (371,0.000011166) (382,0.000011625) (383,0.000011000) (396,0.000011583) (401,0.000012833) (404,0.000010958) (414,0.000013750) (418,0.000011042) (429,0.000011875) (434,0.000011875) (436,0.000013292) (438,0.000011208) (439,0.000011375) (444,0.000013479) (459,0.000011209) (492,0.000011125) (495,0.000013666) (561,0.000011083) (591,0.000012750) (601,0.000011291) (698,0.000011542) (709,0.000011167) (732,0.000011792) (739,0.000011292) (771,0.000013750) (774,0.000011291) (778,0.000011375) (786,0.000011166) (939,0.000012709) (1085,0.000013833) (1099,0.000011666) (1109,0.000011125) (1122,0.000011375) (1123,0.000011250) (1197,0.000011584) (1312,0.000011042) (1335,0.000011375) (1636,0.000011500) (1637,0.000011584) (1639,0.000011459) (1640,0.000011375) (1641,0.000011375) (1647,0.000014125) (1648,0.000011500) (1658,0.000011126) (1708,0.000011459) (1716,0.000011208) (2167,0.000011500) (2168,0.000012063) (2505,0.000011583) (2925,0.000013417) (3110,0.000011459) (3710,0.000014250) (4098,0.000011291) (8209,0.000011834)}
------------------------------------------------
--- Non-Inclusion Proof Sizes ------------------
Method      Dep Count  Median Size (B)  Samples
--------------------------------------------------
ozks                1           2299.0       35
ozks                2           4756.0       60
ozks                3           7086.5       60
ozks                4           9388.0       15
ozks                5          11913.0       20
ozks                6          14288.0       25
ozks                7          16711.5       10
ozks                8          18800.0       15
ozks                9          22027.0       15
ozks               10          24100.0       10
ozks               11          26164.0       25
ozks               12          28792.5       10
ozks               13          30982.5       20
ozks               14          33205.5       10
ozks               15          36665.5       10
ozks               16          37424.0       45
ozks               17          41016.0       20
ozks               18          43982.0       10
ozks               19          45639.0       35
ozks               20          47893.0       10
ozks               21          50394.0       35
ozks               22          52250.0       15
ozks               24          58572.0        5
ozks               25          61363.0        5
ozks               26          62320.0       14
ozks               27          64486.0        5
ozks               28          66842.0       15
ozks               29          68573.0       20
ozks               30          71534.0        5
ozks               31          73393.0       75
ozks               32          75472.0        5
ozks               33          77921.5       40
ozks               34          80622.0        5
ozks               35          82485.0       10
ozks               36          85521.0        5
ozks               37          89045.0       20
ozks               38          90317.0       20
ozks               39          93810.0       20
ozks               40          93464.0        5
ozks               41          96660.0       10
ozks               42         100811.0       35
ozks               43         102993.0        9
ozks               44         104225.0        5
ozks               45         108010.0       10
ozks               46         109820.5       10
ozks               47         113320.0       35
ozks               48         113930.0        5
ozks               49         116245.0        5
ozks               50         118967.0       25
ozks               51         124299.0       10
ozks               52         123730.0       10
ozks               53         128018.0       30
ozks               54         127308.5       10
ozks               55         129852.0      100
ozks               56         133128.0       25
ozks               57         136292.0       10
ozks               58         138790.0        5
ozks               59         139267.0       25
ozks               60         141530.0       15
ozks               61         143431.0       20
ozks               62         146070.0       30
ozks               63         148685.0       70
ozks               64         151131.0       20
ozks               65         153570.0       35
ozks               66         160219.0        5
ozks               69         162986.0       30
ozks               70         168013.0        5
ozks               71         168056.0       10
ozks               72         171955.0       25
ozks               73         172740.0        5
ozks               74         177541.5       10
ozks               76         181921.0        5
ozks               78         183443.0       10
ozks               81         192561.0        5
ozks               83         197308.0       20
ozks               89         211524.0        5
ozks               90         217147.0        5
ozks               92         223087.0        5
ozks               94         226357.0        5
ozks               96         227582.0       10
ozks               97         231648.0       10
ozks               99         237663.0       50
ozks              100         240945.0        5
ozks              101         244130.0        5
ozks              103         238470.0        5
ozks              106         251039.0        5
ozks              107         255370.0       15
ozks              110         261495.5       10
ozks              112         270038.0       10
ozks              116         277491.0        5
ozks              119         286881.5       10
ozks              120         289873.0        5
ozks              125         294755.0        5
ozks              129         305200.0       10
ozks              130         307140.0        5
ozks              132         318008.0        5
ozks              133         320817.0        5
ozks              134         321979.0       25
ozks              136         323215.0        5
ozks              138         328293.0        5
ozks              139         330753.0       30
ozks              140         336990.0       20
